0,HOW IS YOUR BATTERY *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,HOW IS YOUR BATTERY,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS MY BATTERY LEVEL *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,HOW MUCH BATTERY LIFE DO I HAVE,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS MY BATTERY LEVEL NOW,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,CHECK BATTERY,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS MY BATTERY PERCENTAGE,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS THE BATTERY LEVEL *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,BATTERY LEVEL *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,HOW MUCH BATTERY DO I HAVE LEFT,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS THE BATTERY LEVEL,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS MY BATTERY *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS YOUR BATTERY LEVEL,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,BATTERY *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,BATTERY,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS MY BATTERY LEVEL,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,MY BATTERY LEVEL,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,IS MY PHONE *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,BATTERY STATUS,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,WHAT IS THE BATTERY *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
0,HOW MUCH BATTERY *,*,*,<srai>BATTERY LEVEL</srai>,battery.aiml
