0,WHAT UNIT OF CURRENCY *,*,*,<srai>What currency<star/></srai>,currency.aiml
0,WHAT IS THE UNIT OF CURRENCY *,*,*,<srai>What is the currency<star/></srai>,currency.aiml
0,WHAT MONETARY UNIT *,*,*,<srai>What currency<star/></srai>,currency.aiml
0,WHAT IS THE MONETARY UNIT *,*,*,<srai>What is the currency<star/></srai>,currency.aiml
0,WHAT CURRENCY _ IN *,*,*,<srai>What is the currency of<star index="2"/></srai>,currency.aiml
0,WHAT MONEY _ IN *,*,*,<srai>What is the currency of<star index="2"/></srai>,currency.aiml
0,WHAT _ SPEND IN *,*,*,<srai>What is the currency of<star index="2"/></srai>,currency.aiml
0,WHAT IS THE CURRENCY IN *,*,*,<srai>What is the currency of<star/></srai>,currency.aiml
0,WHAT IS THE CURRENCY OF AFGHANISTAN,*,*,The Afghani.,currency.aiml
0,WHAT IS THE CURRENCY OF ALBANIA,*,*,Lek.,currency.aiml
0,WHAT IS THE CURRENCY OF ALGERIA,*,*,Algerian Dinar.,currency.aiml
0,WHAT IS THE CURRENCY OF AMERICAN SAMOA,*,*,U.S. Dollar.,currency.aiml
0,WHAT IS THE CURRENCY OF AMERICA,*,*,The dollar.,currency.aiml
0,WHAT IS THE CURRENCY OF ANDORRA,*,*,Euro.,currency.aiml
0,WHAT IS THE CURRENCY OF ANGOLA,*,*,New Kwanza (it replaced the Kwanza).,currency.aiml
0,WHAT IS THE CURRENCY OF ANGUILLA,*,*,East Caribbean Dollar.,currency.aiml
0,WHAT IS THE CURRENCY OF ANTARCTICA,*,*,Norwegian Krone.,currency.aiml
0,WHAT IS THE CURRENCY OF ANTIGUA *,*,*,East Caribbean Dollar.,currency.aiml
0,WHAT IS THE CURRENCY OF ARGENTINA,*,*,Austral and Argenintinian Neuvo Peso (replacement for the Peso).,currency.aiml
0,WHAT IS THE CURRENCY OF ARMENIA,*,*,Dram (Russian Rouble was formerly in use).,currency.aiml
0,WHAT IS THE CURRENCY OF ARUBA,*,*,Aruban Guilder (Florin).,currency.aiml
0,WHAT IS THE CURRENCY OF AUSTRAILIA,*,*,I think it is the Australian Dollar.,currency.aiml
0,WHAT IS THE CURRENCY OF AUSTRALIA,*,*,The currnecy of Australia is the Australian Dollar.,currency.aiml
0,WHAT IS THE CURRENCY OF AUSTRIA,*,*,Euro (Austrian Schilling was formerly in use).,currency.aiml
0,WHAT IS THE CURRENCY OF AZERBAIJAN,*,*,Azerbaijani Manat (Russian Rouble was formerly in use).,currency.aiml
0,WHAT IS THE CURRENCY OF BAHAMAS,*,*,Bahamian Dollar.,currency.aiml
0,WHAT IS THE CURRENCY OF BAHRAIN,*,*,Bahraini Dinar.,currency.aiml
0,WHAT IS THE CURRENCY OF BANGLADESH,*,*,Taka.,currency.aiml
0,WHAT IS THE CURRENCY OF BARBADOS,*,*,Barbados Dollar.,currency.aiml
